HGNC	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57
CTRC	0.4136542	1.128589	2.641523	1.687286	1.694658	1.871288	2.468423	0.6935842	1.363397	0.5914058	6.529152	1.273134	3.119373	3.211734	0.6528461	-0.1470106	5.715112	3.096368	0.556619	1.84688	2.236752	2.254711	2.471811	1.24272	2.030732	8.856756	4.025108	1.440259	1.218945	3.129685	4.52097	0.5511951	1.436581	-0.1738021	2.867609	2.716745	0.5006553	1.182846	0.8225502	0.1738719	-0.06676368	0.8263842	0.8154357	0.7213893	-0.3475052	2.746456	0.06795851	0.5465321	0.2205305	-0.5736801	3.776405	0.0723217	0.5064043	-0.7077177	1.317228	3.45223	0.5893815
WNT4	6.53053	3.415944	2.322297	4.505618	8.451951	6.819849	7.083173	6.972522	0.8543723	8.043734	4.52277	2.011215	8.311036	5.240548	1.294736	2.959109	3.843904	9.043156	1.717113	5.155768	5.362968	7.606847	5.887038	2.181687	4.74365	3.405288	4.657305	7.068039	7.338644	0.9559323	5.012146	5.104691	7.182966	7.322108	6.621873	4.082832	7.570213	7.728725	4.225298	6.593876	2.965678	7.333283	5.876392	7.393096	7.473163	5.641526	6.885721	6.448075	3.848817	6.581988	6.958901	6.642303	6.322888	4.4292	3.348386	7.069003	4.516883
CAPN13	2.941329	1.235834	-0.1034355	4.569504	1.591152	3.992429	5.518282	3.494173	0.3151483	0.08815881	1.844079	0.4444574	4.138572	-0.4621365	0.1474353	-0.2314859	-0.08002575	0.2460315	0.1362087	1.147494	0.01464589	4.128915	0.7161153	0.8570157	0.9022918	4.869588	1.615855	1.551694	-0.2597459	1.840719	2.011015	-0.3882923	0.2476812	1.374714	0.4321693	6.593162	-0.6183996	4.529605	0.7675484	0.6824614	-0.5249082	-0.9585661	2.432684	-1.086932	-1.216689	1.747733	-0.04185623	-0.2836383	1.819459	1.474207	-0.8731254	-0.9465677	1.498104	6.000186	-0.7286956	-0.4768702	5.004264
DAPL1	0.9761696	0.8233134	5.894517	5.996704	0.04669755	0.4979491	4.370243	3.297294	6.19915	-0.09606967	2.21463	6.47207	1.434265	3.905424	0.04578678	-0.1711037	1.913534	3.679932	0.9993583	4.115802	0.9333994	2.292848	3.213613	1.473907	2.0229	1.271293	0.7778552	0.6976981	-0.3565593	2.073649	7.566611	0.3445602	-0.9642137	0.2959369	-0.01742204	6.275561	2.399543	1.177228	1.023658	-0.4644001	4.943841	-0.150121	-0.4358121	0.2241108	-0.3974851	0.9377041	-0.1673047	0.6879992	0.08214542	-0.3606654	-0.1960834	0.05302311	0.272321	3.335081	5.133428	0.1612486	6.323545
CLDN1	2.75674	1.379388	0.4302754	0.005048266	1.251043	2.124677	3.336423	0.1722592	8.366808	0.6235653	3.508427	0.1266726	2.837969	2.220944	5.350667	4.698384	3.18608	1.712499	0.8042007	3.390474	4.285402	4.267705	0.3868481	-0.3883903	5.498432	0.6483187	1.953505	1.681244	0.5173249	1.684473	1.914685	0.4550329	0.5035452	0.585266	3.383096	1.31955	0.04172768	0.4602058	1.453097	0.3889801	1.020271	-0.6082688	1.38224	0.04597959	0.5089753	1.648223	-0.5015808	0.2147017	0.1672147	0.3052211	0.7761302	3.044625	0.09111774	1.232676	7.946837	0.1074683	-0.4647362
CRYBA2	8.528424	4.302924	5.845669	5.361493	4.966368	9.989709	7.266087	8.83627	1.320928	7.311665	7.117854	5.547129	5.680013	7.972565	3.437939	6.038079	5.082766	11.04929	8.478811	7.364373	6.620734	9.148301	9.83465	7.993899	6.853089	4.772644	8.47458	9.688049	8.340349	1.815178	8.562078	4.452752	3.301555	1.923677	2.136435	7.651797	1.113957	9.010724	5.456395	6.362242	2.61449	4.146842	3.201824	7.7984	9.741741	7.538792	8.109066	10.04372	2.889707	6.327394	8.621957	3.322277	8.295513	6.804	1.819367	8.530491	6.180367
CADPS	7.83509	2.852467	5.810256	7.334894	5.199133	7.060738	6.519136	6.682195	1.989426	5.50071	3.264949	3.565297	4.500493	4.827566	1.877153	7.334814	5.272754	6.270132	5.057292	5.527462	6.342463	7.813613	6.592611	5.064974	5.396677	1.702027	6.779004	6.547987	6.536025	3.072793	5.435381	6.557071	5.567485	5.512032	6.398649	7.354066	6.984315	8.406188	7.600074	5.725895	4.545431	6.338771	5.034595	5.433098	7.612271	6.69848	8.705318	7.863247	6.331778	5.857865	7.35165	6.388695	6.811061	6.92961	2.827359	6.601988	8.494447
CDS1	1.737829	2.999513	3.034913	3.306365	3.697378	2.528757	3.275856	3.998279	3.109647	4.717031	2.877053	3.409456	4.220449	1.065278	1.223646	3.078648	1.051742	2.825129	1.651841	1.57544	3.003274	1.108353	1.272261	1.775632	1.174995	4.6112	2.840127	3.796027	3.247312	2.326627	2.227913	0.1256456	4.646547	4.850865	4.470051	2.650281	4.572589	3.154951	1.069193	4.004089	2.454479	4.911502	3.565356	2.409992	4.559212	1.415534	4.567544	3.586372	3.502424	4.030973	4.222895	5.335152	3.354598	3.842227	4.145188	3.985081	1.760671
TLR3	0.5483501	0.2377865	0.3252422	0.3304625	1.378083	0.4096962	0.572644	0.2325716	0.2320149	2.008779	1.074274	0.5350564	2.28377	0.06279531	1.812033	0.1993405	1.062862	1.005162	-0.100428	0.7805237	0.4291962	0.9912614	0.1349929	-0.1621635	1.034066	1.938887	-0.05092925	1.362931	2.621289	2.443396	0.1402489	-0.1041898	3.156204	2.63794	3.252291	1.057088	0.2663451	0.6566635	1.640534	4.544739	-0.2332944	1.521036	5.151707	1.969733	2.151794	1.841146	1.077328	0.5530527	4.585393	4.151558	2.228412	1.288471	1.414688	0.8719034	1.746017	0.8178357	1.657627
PTTG1	2.437788	8.160443	10.19798	3.017861	5.449226	4.932562	6.313431	5.481409	5.166666	3.713705	4.743415	9.859034	3.825493	9.964935	7.587391	5.834228	5.567758	6.49516	8.294644	6.684158	7.76554	2.678125	7.918464	8.086934	6.862711	6.715418	4.022528	5.290601	4.722536	5.723479	8.198191	8.598112	4.634462	4.786124	3.764877	3.437992	1.974155	2.927566	0.255938	5.136889	7.31754	5.600825	4.754937	1.999063	3.059114	0.6920714	3.569352	2.647686	4.327708	5.077203	2.757565	3.901364	1.609785	2.212662	5.786755	3.298714	2.106804
