model;alpha;beta;gamma;delta;acinar;ductal;hisc;Strength_subtype;Subtype;Confidence_score_dif;Differentiation_score;Strength_de_differentiation;Confidence_score_de_dif
GSM1891278;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.3;16.9;16.7;11.4;33;5.7;23.2;33;acinar;1.52280772524597e+24;-1.52280772524597e+24;0.7;2.89134959942475e+25
GSM1891279;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;20.4;18.4;18.5;13.1;24.1;5.5;21.5;24.1;acinar;1.74185496613606e+24;-1.74185496613606e+24;0.7;3.17352218952008e+25
GSM1891280;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;20.2;18.4;18.8;13.3;23.7;5.7;21.4;23.7;acinar;1.74926822186449e+24;-1.74926822186449e+24;0.7;3.07365844522968e+25
GSM1891281;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.6;15.7;16.2;10.6;35.6;5.3;23.8;35.6;acinar;1.3068018471819e+24;-1.3068018471819e+24;0.7;2.53563102961612e+25
GSM1891282;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;18.6;17.1;16.5;12.6;28.6;6.6;22.4;28.6;acinar;1.63386180559726e+24;-1.63386180559726e+24;0.7;2.9135273768898e+25
GSM1891283;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.4;16.3;14.9;10.9;35.5;5.9;24.2;35.5;acinar;1.24782973415187e+24;-1.24782973415187e+24;0.7;2.37348376977345e+25
GSM1891284;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;17;16.3;17.5;11.4;31.9;5.9;23.1;31.9;acinar;1.72779378400098e+24;-1.72779378400098e+24;0.7;3.02500357612272e+25
GSM1891285;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.3;16.8;15;11;35.7;5.3;24;35.7;acinar;1.24348641047331e+24;-1.24348641047331e+24;0.7;2.43856292503667e+25
GSM1891286;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.5;16.8;16.2;11.7;32.2;6.7;22.9;32.2;acinar;1.65559681084776e+24;-1.65559681084776e+24;0.7;2.99979165125757e+25
GSM1891287;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;15.3;17.7;13.4;11.2;37.2;5.2;24;37.2;acinar;1.3195723165691e+24;-1.3195723165691e+24;0.7;2.48125864211193e+25
